"ComicSansCHN";10;False;False;0;0;1;1
32;2;2;3;16;3;0
33;1461;578;1;16;3;1
34;1456;578;3;16;6;1
35;1443;578;11;16;11;0
36;1434;578;7;16;9;1
37;1423;578;9;16;11;1
38;1413;578;8;16;9;0
39;1410;578;1;16;5;2
40;1405;578;3;16;5;1
41;1400;578;3;16;5;1
42;1392;578;6;16;7;0
43;1384;578;6;16;6;0
44;1380;578;2;16;4;1
45;1374;578;4;16;5;1
46;1371;578;1;16;3;1
47;1364;578;5;16;7;1
48;1355;578;7;16;8;0
49;1349;578;4;16;6;1
50;1341;578;6;16;8;1
51;1333;578;6;16;8;1
52;1323;578;8;16;8;0
53;1315;578;6;16;8;1
54;1307;578;6;16;8;1
55;1297;578;8;16;8;0
56;1289;578;6;16;8;1
57;1281;578;6;16;8;1
58;1277;578;2;16;4;1
59;1273;578;2;16;4;1
60;1464;578;4;16;5;0
61;1470;578;5;16;7;1
62;1477;578;5;16;5;0
63;1484;578;6;16;7;0
64;1747;578;10;16;12;1
65;1737;578;8;16;10;1
66;1728;578;7;16;8;1
67;1719;578;7;16;8;1
68;1709;578;8;16;9;1
69;1700;578;7;16;8;1
70;1691;578;7;16;8;1
71;1681;578;8;16;9;1
72;1671;578;8;16;10;1
73;1662;578;7;16;7;0
74;1653;578;7;16;9;1
75;1644;578;7;16;8;1
76;1636;578;6;16;7;1
77;1759;578;10;16;11;1
78;1625;578;9;16;10;1
79;1609;578;9;16;10;1
80;1602;578;5;16;7;1
81;1590;578;10;16;11;1
82;1581;578;7;16;8;1
83;1572;578;7;16;9;1
84;1562;578;8;16;9;1
85;1552;578;8;16;10;1
86;1543;578;7;16;8;1
87;1529;578;12;16;14;1
88;1518;578;9;16;9;0
89;1508;578;8;16;8;0
90;1497;578;9;16;9;0
91;1492;578;3;16;5;1
92;1266;578;5;16;7;1
93;1620;578;3;16;5;1
94;1258;578;6;16;8;1
95;1132;578;8;16;8;0
96;997;578;3;16;7;1
97;989;578;6;16;7;0
98;981;578;6;16;8;1
99;974;578;5;16;7;1
100;966;578;6;16;8;1
101;958;578;6;16;7;1
102;950;578;6;16;7;0
103;942;578;6;16;7;0
